Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Czech Republic,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,120461583739.316,124277005389.016,130616453439.594,140409703197.124,147930743763.687,149350479348.348,151003737038.34,154492650753.548,162502534411.128,174217616814.964,178561328109.951,190812000077.786,202080848190.613,213606488943.892,228333928255.814,251255180634.558,269804658614.43,267318302582.928,267665911505.762,279370310382.565,286391051564.635,301403153675.82,316634771841.133,329122356664.153,343673521758.157,364852703815.704
United States,USA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5922924000000,6117250000000,6459473000000,6758382000000,7195801000000,7602259000000,8075414000000,8620325000000,9167551000000,9725260000000,10421259000000,10788612000000,11098891000000,11591408000000,12372645000000,13221776000000,14140770000000,14585723000000,14791194000000,14494460000000,15121133000000,15802898000000,16596084000000,17073716000000,17892074000000,18581144000000,18968714000000,19607598000000
Syrian Arab Republic,SYR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,46588287112.7149,50670649711.2369,54220075797.9195,57179906056.1819,57405169031.1202,60868466605.4811,66615959470.4763,71203371695.7037,72177827768.6848,78367566629.6625,86800350619.339,98333597549.991,110361638765.28,125077405429.544,123342372223.839,131692558563.264,134396740171.443,141334378505.655,149610025166.76,154769445337.157,157213058726.113,163089424580.243,167988986659.327
Russian Federation,RUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1185858196661.56,1162628352151.01,1009161843778.37,943162724013.78,846916330048.051,825535430160.173,805913722270.614,824634523073.314,771248318859.014,836377678625.745,974629947987.715,1060628740394.34,1144425580988.59,1297547987709.56,1442160250554.04,1655585941892.4,2071669066191.67,2324769766658.25,2797649362807.68,2678149677195.79,2837671791921.19,3373184617515.06,3579360949689.46,3635166063636.95,3644656165133.85,3521836492512.39,3539663675494.7,3721575460626.83
United Arab Emirates,ARE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,279228068000.823,279164313064.7,307077343805.462,347513100269.535,380298972294.659,432810738222.205,463476299657.32,478013214643.452,455603090179.488,463767107413.715,506666150859.09,539353078158.061,577752714049.89,612107318785.99,651745477605.438,665080750359.502,699509974941.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
